dstPort,outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
5201,8,9,428,640,0,0,0,0,47.03,52.91,2515.93,3762.13,6278.0599999999995,99.94,60,60,53.5,175,175,71.11111111111111,0,1,0,1,1,0,0,0
5201,3059,4429,159088,153373801,0,0,0,0,98.81,143.06,5138.51,4953943.86,4959082.37,241.87,64,64,52.0065380843413,65212,65212,34629.44253781899,0,1,0,1,1,0,0,0
5201,88,236,4576,8277304,0,0,0,0,88.54,237.44,4604.01,8327973.08,8332577.09,325.98,52,52,52.0,65212,65212,35073.32203389827,0,0,0,1,1,0,0,0
5201,91,193,4732,6588452,0,0,0,0,91.22,193.47,4743.51,6604470.7,6609214.21,284.69,52,52,52.0,65212,65212,34137.05699481868,0,0,0,1,1,0,0,0
47538,63,181,3276,6069556,0,0,0,0,63.03,181.08,3277.43,6072202.44,6075479.87,244.11,52,52,52.0,65212,65212,33533.4585635359,0,0,0,1,1,0,0,0
5201,95,182,4940,6236768,0,0,0,0,95.41,182.78,4961.16,6263480.69,6268441.850000001,278.19,52,52,52.0,65212,65212,34267.956043956045,0,0,0,1,1,0,0,0
47538,117,234,6084,8110568,0,0,0,0,118.11,236.21,6141.48,8187200.81,8193342.29,354.32,52,52,52.0,65212,65212,34660.54700854703,0,0,0,1,1,0,0,0
5201,182,222,9500,7714056,0,0,0,0,181.16,220.98,9456.15,7678447.36,7687903.510000001,402.14,64,64,52.19780219780221,65212,65212,34747.99999999999,0,0,0,1,1,0,0,0
80,2,0,191,0,0,0,0,0,1262.39,0.0,120558.63,0.0,120558.63,1262.39,139,139,95.5,0,0,0,0,0,0,1,1,0,0,0
5201,235,295,12220,10096476,0,0,0,0,194.41,244.05,10109.39,8352637.76,8362747.149999999,438.46000000000004,52,52,52.0,65212,65212,34225.34237288134,0,0,0,1,1,0,0,0
47538,144,168,7488,5998064,0,0,0,0,144.15,168.18,7495.83,6004332.73,6011828.5600000005,312.33000000000004,52,52,52.0,65212,65212,35702.76190476192,0,0,0,1,1,0,0,0
5201,49,176,2548,6197720,0,0,0,0,49.19,176.68,2557.88,6221750.77,6224308.649999999,225.87,52,52,52.0,65212,65212,35214.31818181817,0,0,0,1,1,0,0,0
5201,81,278,4212,9328512,0,0,0,0,81.19,278.64,4221.69,9349977.05,9354198.74,359.83,52,52,52.0,65212,65212,33555.798561151096,0,0,0,1,1,0,0,0
5201,163,210,8476,7445576,0,0,0,0,163.74,210.96,8514.63,7479507.75,7488022.38,374.70000000000005,52,52,52.0,65212,65212,35455.12380952383,0,0,0,1,1,0,0,0
5201,170,164,8840,5833816,0,0,0,0,169.37,163.39,8807.27,5812219.23,5821026.5,332.76,52,52,52.0,65212,65212,35572.0487804878,0,0,0,1,1,0,0,0
5201,141,190,7332,6448704,0,0,0,0,140.98,189.97,7330.72,6447581.83,6454912.55,330.95,52,52,52.0,65212,65212,33940.54736842102,0,0,0,1,1,0,0,0
