outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE
5,5,355,416,0,0,0,0,11.07,11.07,785.67,920.67,1706.34,22.14,139,139,71.0,200,200,83.2,1,1,0,1,1,0,0,0
4,3,512,384,0,0,0,0,344.05,258.04,44038.3,33028.72,77067.02,602.09,348,348,128.0,272,272,128.0,0,1,0,1,1,0,0,0
4,3,517,384,0,0,0,0,97.73,73.3,12631.46,9381.97,22013.43,171.03,353,353,129.25,272,272,128.0,0,1,0,1,1,0,0,0
24,22,2557,16810,6,748,4,3228,8.32,7.62,885.9,5824.02,6709.92,15.940000000000001,569,569,106.54166666666667,1480,1480,764.0909090909091,0,1,0,1,1,0,0,0
9,8,1345,5674,2,336,1,1421,90.67,80.59,13549.8,57161.03,70710.83,171.26,569,569,149.44444444444446,1480,1480,709.25,0,1,0,1,1,0,0,0
16,13,1870,5041,5,482,7,894,32.83,26.68,3837.46,10344.73,14182.189999999999,59.51,569,569,116.875,1470,1470,387.7692307692308,0,1,0,1,1,0,0,0
10,6,2044,3516,0,0,0,0,4.22,2.53,863.51,1485.37,2348.88,6.75,431,431,204.4,851,851,586.0,0,1,0,1,1,0,0,0
10,7,1868,3676,2,687,2,347,10.12,7.08,1889.73,3718.76,5608.49,17.2,603,603,186.8,1500,1500,525.1428571428571,0,1,0,1,1,0,0,0
43,48,3628,59096,5,836,29,33566,69.89,78.02,5896.71,96050.77,101947.48000000001,147.91,615,615,84.3720930232558,1470,1470,1231.1666666666672,0,1,0,1,1,0,0,0
4,3,602,866,0,0,0,0,177.77,133.33,26754.09,38486.78,65240.869999999995,311.1,438,438,150.5,754,754,288.6666666666667,0,1,0,1,1,0,0,0
3,1,907,52,2,218,0,0,183.39,61.13,55446.41,3178.85,58625.26,244.51999999999998,569,569,302.3333333333333,52,52,52.0,0,0,0,1,1,0,0,0
56,73,5569,96348,6,2104,8,11094,39.42,51.39,3920.24,67823.11,71743.35,90.81,569,569,99.44642857142857,1480,1480,1319.835616438356,0,1,0,1,1,0,0,0
14,11,2577,5745,4,1298,2,1200,17.63,13.85,3245.84,7236.08,10481.92,31.479999999999997,569,569,184.07142857142858,1480,1480,522.2727272727273,0,1,0,1,1,0,0,0
13,12,1582,11727,2,365,1,1423,19.87,18.34,2417.66,17921.59,20339.25,38.21,569,569,121.6923076923077,1480,1480,977.25,0,1,0,1,1,0,0,0
